"carrier","year","s","p","eps","mc"
"ATT",2009,0.231258136151313,47.1433333333333,-1.65542569770618,18.6652606547124
"ATT",2010,0.251011527597527,47.3666666666667,-1.62052908609286,18.1375296686576
"ATT",2011,0.254785761628134,46.67,-1.58864850572333,17.2928282518979
"ATT",2012,0.262945016218814,46.1933333333333,-1.5552065010091,16.4909540651392
"ATT",2013,0.25864313023672,46.1366666666667,-1.56236464912202,16.606641974548
"ATT",2014,0.250995520159283,44.93,-1.53719763434741,15.7014876759655
"ATT",2015,0.248881268035632,42.4766666666667,-1.45736352195585,13.3304268804114
"ATT",2016,0.246292767790572,39.2033333333333,-1.34969161996385,10.1571921604457
"Sprint",2009,0.108234214250201,50.92,-2.0741877947843,26.3706317470183
"Sprint",2010,0.101114588899916,45.6566666666667,-1.87463795834425,21.3017417792008
"Sprint",2011,0.0953663582777062,43.1433333333333,-1.78276994715426,18.9431647124741
"Sprint",2012,0.0984293193717277,42.76,-1.76094726353452,18.4776146694062
"Sprint",2013,0.0985660873495213,43.23,-1.7800327865097,18.943930480592
"Sprint",2014,0.0941181350589016,43.29,-1.79129875854543,19.1231770211506
"Sprint",2015,0.0937814702920443,41.0233333333333,-1.69813712828674,16.8654884514409
"Sprint",2016,0.0893629530088607,37.4466666666667,-1.55764093844361,13.4060384689491
"TMobile",2009,0.0954487254103131,48.2333333333333,-1.99291758793744,24.0309610800722
"TMobile",2010,0.0976224644145367,47.2666666666667,-1.94828337602945,23.0059932717137
"TMobile",2011,0.0920564802398044,46.42,-1.92518665697196,22.3080522925439
"TMobile",2012,0.0839778110701705,46.64,-1.95152180930736,22.7407026528934
"TMobile",2013,0.107934679774588,43.47,-1.77131242867038,18.9288748453425
"TMobile",2014,0.115905669844456,39.2966666666667,-1.58694981104773,14.5342788500524
"TMobile",2015,0.12731783206492,34.4133333333333,-1.3718028999072,9.32712500438069
"TMobile",2016,0.146391926698476,33.0166666666667,-1.28736178386857,7.36990048144536
"Verizon",2009,0.278670381254055,51.08,-1.68303647222023,20.7300932433055
"Verizon",2010,0.28708298343385,51.4266666666667,-1.67469695262801,20.718623288451
"Verizon",2011,0.314164294904285,47.3833333333333,-1.4844124013463,15.4627341182106
"Verizon",2012,0.31766450268494,46.7266666666667,-1.45636971682289,14.6423228857466
"Verizon",2013,0.321768486130318,45.5866666666667,-1.41229257646637,13.3081803060522
"Verizon",2014,0.328272772523644,45.45,-1.394555212496,12.8589633793324
"Verizon",2015,0.329137217180377,44.14,-1.35261718797663,11.5069679844683
"Verizon",2016,0.326319277607489,41.5433333333333,-1.27839285282264,9.04680205063144
